state,canonical_school,canonical_key,alias_variants,n_alias_variants,dat_tf_men_team_ids,dat_tf_women_team_ids,dat_xc_men_team_ids,dat_xc_women_team_ids,n_dat_team_records,all_dat_team_ids,duplicate_team_records,sports_present,dat_leagues,source_league_urls,athletic_net_team_id,athletic_net_team_id_source,source,observed_on,verification
OH,Middletown Madison,middletown madison,Middletown Madison (x4),1,10498,10499,25939,25940,4,track:men:10498;track:women:10499;xc:men:25939;xc:women:25940,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Milan Edison,milan edison,Milan Edison (x4),1,32569,32660,25941,25942,4,track:men:32569;track:women:32660;xc:men:25941;xc:women:25942,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Milford,milford,Milford (x4),1,1047,1048,13299,12805,4,track:men:1047;track:women:1048;xc:men:13299;xc:women:12805,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Milford Center Fairbanks,milford center fairbanks,Milford Center Fairbanks (x4),1,42517,42518,25943,25944,4,track:men:42517;track:women:42518;xc:men:25943;xc:women:25944,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Milford JHS,milford jhs,Milford JHS (x2),1,16252,16253,,,2,track:men:16252;track:women:16253,no,track,Ohio,https://www.directathletics.com/leagues/track/43.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Millbury Lake,millbury lake,Millbury Lake (x4),1,42519,42520,25945,25946,4,track:men:42519;track:women:42520;xc:men:25945;xc:women:25946,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Miller City,miller city,Miller City (x4),1,103763,103764,59819,59820,4,track:men:103763;track:women:103764;xc:men:59819;xc:women:59820,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Millersburg West Holmes,millersburg west holmes,Millersburg West Holmes (x4),1,21996,21997,25949,25950,4,track:men:21996;track:women:21997;xc:men:25949;xc:women:25950,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Millersport,millersport,Millersport (x4),1,13924,13925,25951,25952,4,track:men:13924;track:women:13925;xc:men:25951;xc:women:25952,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Mineral Ridge,mineral ridge,Mineral Ridge (x4),1,27478,27479,25953,25954,4,track:men:27478;track:women:27479;xc:men:25953;xc:women:25954,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Minerva,minerva,Minerva (x4),1,42523,42524,25955,25956,4,track:men:42523;track:women:42524;xc:men:25955;xc:women:25956,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Minford,minford,Minford (x4),1,13714,13715,25957,25958,4,track:men:13714;track:women:13715;xc:men:25957;xc:women:25958,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Minster,minster,Minster (x4),1,42525,16533,25959,25960,4,track:men:42525;track:women:16533;xc:men:25959;xc:women:25960,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Mogadore,mogadore,Mogadore (x4),1,37542,37543,18446,18448,4,track:men:37542;track:women:37543;xc:men:18446;xc:women:18448,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Mogadore Field,mogadore field,Mogadore Field (x4),1,42526,42527,25961,25962,4,track:men:42526;track:women:42527;xc:men:25961;xc:women:25962,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Monclova Christian Acad.,monclova christian acad,Monclova Christian Acad. (x4),1,42528,42529,25963,25964,4,track:men:42528;track:women:42529;xc:men:25963;xc:women:25964,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Monroe Lemon-Monroe,monroe lemon monroe,Monroe Lemon-Monroe (x4),1,42530,42531,25965,25966,4,track:men:42530;track:women:42531;xc:men:25965;xc:women:25966,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Monroeville,monroeville,Monroeville (x4),1,12272,12273,25967,25968,4,track:men:12272;track:women:12273;xc:men:25967;xc:women:25968,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Montpelier,montpelier,Montpelier (x4),1,42532,42533,25969,25970,4,track:men:42532;track:women:42533;xc:men:25969;xc:women:25970,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Morral Ridgedale,morral ridgedale,Morral Ridgedale (x4),1,13884,42534,25971,25972,4,track:men:13884;track:women:42534;xc:men:25971;xc:women:25972,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
OH,Morrow Little Miami,morrow little miami,Morrow Little Miami (x4),1,29471,29472,12965,12966,4,track:men:29471;track:women:29472;xc:men:12965;xc:women:12966,no,track;xc,Ohio,https://www.directathletics.com/leagues/track/43.html | https://www.directathletics.com/leagues/xc/80.html,,not exposed on DAT (no athletic.net links found on any sampled page),DAT state-league team lists,2026-09-19,observed
