tenant,meet_docs,meet_docs_with_ani,pct_with_ani
temporun,172,172,100.0
lttiming,171,171,100.0
pierretiming,171,170,99.4
usp,171,166,97.1
rpmtiming,159,159,100.0
endurance,157,157,100.0
speedy,154,151,98.1
runfar,152,140,92.1
802timing,150,150,100.0
fto,149,111,74.5
twelveone,148,148,100.0
timingking,145,88,60.7
peakperf,144,144,100.0
usatfor,143,140,97.9
buffalo,141,135,95.7
matstiming,136,136,100.0
runaround,135,134,99.3
snakeriver,135,119,88.1
mocotiming,134,131,97.8
bluefox,132,130,98.5
grizzlypeak,132,130,98.5
coloradoelite,131,131,100.0
nestiming,131,124,94.7
kvtfoa,127,126,99.2
trojan,126,100,79.4
westernmd,123,120,97.6
greenferrettiming,121,113,93.4
charlotte,120,64,53.3
kjtiming,120,67,55.8
record_timing,120,33,27.5
iatt,119,92,77.3
chippedtiming,118,118,100.0
seotiming,117,117,100.0
westlake,117,115,98.3
bwracing,116,115,99.1
alphatiming,115,97,84.3
baltcity,111,109,98.2
westside,111,108,97.3
qld,109,102,93.6
scoles,108,108,100.0
atlanticcoast,107,55,51.4
enmotive,106,95,89.6
speedtiming,104,98,94.2
baltcps,103,99,96.1
blueridge,103,71,68.9
lightspeedtiming,101,101,100.0
lsatiming,101,100,99.0
athleticscanterbury,100,99,99.0
k2timing,100,100,100.0
performancetiming,98,97,99.0
batavia,97,97,100.0
atxtiming,96,86,89.6
firstlane,94,94,100.0
ellington,93,93,100.0
ottcenter,93,93,100.0
finallap,92,67,72.8
kttf,92,89,96.7
labtiming,92,92,100.0
swtiming,92,92,100.0
smac,87,87,100.0
durham,82,43,52.4
ntxtiming,82,82,100.0
mofast,81,81,100.0
trackqua,81,34,42.0
viper,81,20,24.7
fortistiming,80,44,55.0
stuart,80,71,88.8
speedingbullet,77,77,100.0
417running,75,75,100.0
perfecttiming,74,51,68.9
prathletics,74,46,62.2
mountaintiming,69,67,97.1
flextimingpro,67,67,100.0
jmtiming,67,58,86.6
thunder,66,66,100.0
domoreraces,64,63,98.4
goldmedal,63,47,74.6
jwtiming,62,32,51.6
thrace,62,62,100.0
crescity,61,25,41.0
kcrc,61,39,63.9
cayman,60,48,80.0
littleathleticsqld,60,59,98.3
bolttiming,59,59,100.0
championshiptiming,58,58,100.0
rtc,58,48,82.8
beartoothtrack,57,57,100.0
windsortiming,57,57,100.0
calgarytrackcouncil,56,52,92.9
newrivertiming,56,56,100.0
chttiming,55,53,96.4
badgerstate,54,54,100.0
belllap,54,53,98.1
rapidresultstiming,54,51,94.4
cnutfx,51,48,94.1
flracing,51,51,100.0
advantagetiming,50,50,100.0
grimestimes,50,50,100.0
mill,50,37,74.0
phototiming,50,50,100.0
5north,49,43,87.8
highspeed,49,37,75.5
metro,47,47,100.0
cca,46,46,100.0
hartfordtiming,46,46,100.0
hnscats,45,43,95.6
sangertimes,45,45,100.0
vwmgmt,45,45,100.0
bulldogtiming,43,43,100.0
athleticsontario,41,41,100.0
sub4sports,40,40,100.0
uwwtrack,40,37,92.5
justfortrack,38,28,73.7
usaracetiming,38,38,100.0
rts,37,37,100.0
actnowracing,36,35,97.2
montiming,34,34,100.0
racepenguin,33,33,100.0
timingcrew,32,32,100.0
tomahawktiming,31,30,96.8
rapidtiming,30,30,100.0
britishmilersclub,29,29,100.0
athletics_canada,26,15,57.7
onyourmarkscol,26,17,65.4
athleticsotago,25,25,100.0
olympicsedge,25,25,100.0
raceplaceevents,25,25,100.0
fttiming,24,5,20.8
gigarun,24,24,100.0
happypacetiming,24,24,100.0
ledgestiming,23,21,91.3
bucknell,22,17,77.3
falcon,22,17,77.3
atmmeetmanagement,21,21,100.0
910athletics,20,19,95.0
anythingathletics,20,0,0.0
tdeming,20,20,100.0
trackmac,20,20,100.0
sheffield,17,14,82.4
m3timing,15,6,40.0
mankatoeast,15,15,100.0
athleticsauckland,14,10,71.4
competitivetiming,13,11,84.6
letsgoruntiming,13,13,100.0
mitten,13,13,100.0
sbracetiming,13,13,100.0
sportmadesimple,13,11,84.6
timingspot,13,13,100.0
athleticswbop,12,12,100.0
denverathletics,12,12,100.0
operacing,12,12,100.0
athletics_manitoba,11,10,90.9
klearfinishtiming,11,11,100.0
onthedottiming,11,11,100.0
p1timing,11,4,36.4
premierresults,11,11,100.0
3btiming,10,10,100.0
caribliveresults,10,10,100.0
runnebraska,10,10,100.0
advancedsports,9,9,100.0
gcxc,9,9,100.0
pymatuningvalleytiming,9,9,100.0
northstar,7,6,85.7
kleintiming,6,6,100.0
pellaschools,6,6,100.0
upstarttiming,6,6,100.0
jactiming,5,4,80.0
ntsg,5,5,100.0
racetimers,5,5,100.0
trackmeetio_v2,5,4,80.0
ellistimingcanada,3,3,100.0
kent,3,3,100.0
hdtiming,2,2,100.0
oceaniaathletics,2,2,100.0
athleticsnewzealand,1,1,100.0
athleticswest,1,1,100.0
halotiming,1,1,100.0
sheff,1,1,100.0
