state,dat_league_name,dat_league_sport,dat_league_id,dat_team_id,dat_team_sport,team_gender,dat_team_name_raw,level_guess,dat_league_url,source,observed_on,verification
WI,Wisconsin,track,115,24783,track,men,Blair-Taylor,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24784,track,women,Blair-Taylor,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24419,track,men,Bloomer,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24420,track,women,Bloomer,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24449,track,men,Bonduel,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24450,track,women,Bonduel,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24557,track,men,Boscobel,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24558,track,women,Boscobel,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24761,track,men,Bowler,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24762,track,women,Bowler,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24672,track,men,Boyceville,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24673,track,women,Boyceville,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24503,track,men,Brillion,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24504,track,women,Brillion,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24523,track,men,Brodhead/Juda,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24524,track,women,Brodhead/Juda,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24871,track,men,Brookfield Academy,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24872,track,women,Brookfield Academy,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,66416,track,men,Brookfield Central,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24359,track,women,Brookfield Central,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24360,track,men,Brookfield East,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24361,track,women,Brookfield East,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24801,track,men,Brookwood,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24802,track,women,Brookwood,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24641,track,men,Brown Deer,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24642,track,women,Brown Deer,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24656,track,men,Bruce,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
WI,Wisconsin,track,115,24657,track,women,Bruce,high_school_or_unknown,https://www.directathletics.com/leagues/track/115.html,DAT state-league team list,2026-09-19,observed
