fragment,state,sport,role,school,coach_name,ad_name,source_url,verify
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Track and Field,Assistant Coach,COLUMBUS CATHOLIC,Hannah Schlinsog,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=82&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Cross Country,Head Coach,COLUMBUS CATHOLIC,Jim Nystrom,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=82&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Head Coach,COLUMBUS CATHOLIC,Jessica Burt,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=82&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Cross Country,Head Coach,COLUMBUS,Brooke Eder,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=83&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Cross Country,Head Coach,COLUMBUS,Sydney Moore,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=83&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Track and Field,Head Coach,COLUMBUS,Marlin Hensler,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=83&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Track and Field,Assistant Coach,COLUMBUS,Connor Graffin,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=83&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Track and Field,Assistant Coach,COLUMBUS,Marcus Hensler,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=83&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Track and Field,Assistant Coach,COLUMBUS,Katie Kahl,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=83&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Track and Field,Assistant Coach,COLUMBUS,Sydney Moore,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=83&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Cross Country,Head Coach,COLUMBUS,Brooke Eder,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=83&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Cross Country,Head Coach,COLUMBUS,Sydney Moore,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=83&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Head Coach,COLUMBUS,Marlin Hensler,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=83&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,COLUMBUS,Katie Kahl,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=83&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,COLUMBUS,Connor Graffin,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=83&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,COLUMBUS,Marcus Hensler,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=83&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,COLUMBUS,Sydney Moore,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=83&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Cross Country,Head Coach,SAINT ANTHONY,Dave Marsicek,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=85&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Track and Field,Head Coach,CORNELL,Laurie Bowe,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=86&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,CORNELL,Laurie Bowe,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=86&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Head Coach,CORNELL,Laurie Bowe,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=86&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Cross Country,Head Coach,CRANDON,Jessica Keao,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=88&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Cross Country,Assistant Coach,CRANDON,Val Wagoner,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=88&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Track and Field,Assistant Coach,CRANDON,Mariah Oemig,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=88&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Cross Country,Head Coach,CRANDON,Jessica Keao,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=88&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Cross Country,Assistant Coach,CRANDON,Val Wagoner,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=88&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,CRANDON,Mariah Oemig,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=88&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Head Coach,CRANDON,Winnie May,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=88&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Cross Country,Head Coach,CRIVITZ,David Pleuss,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=89&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Track and Field,Assistant Coach,CRIVITZ,Glen Treado,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=89&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Track and Field,Head Coach,CRIVITZ,Billy Retza,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=89&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Cross Country,Head Coach,CRIVITZ,David Pleuss,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=89&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Assistant Coach,CRIVITZ,Glen Treado,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=89&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Girls Track and Field,Head Coach,CRIVITZ,Billy Retza,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=89&AllCoaches=True,ok
/home/lewis/Downloads/midwest-tfxc-source-research/out/coach-fragments/WI.csv,WI,Boys Cross Country,Head Coach,CUBA CITY,Kim Matthews,,https://schools.wiaawi.org/Directory/School/CoachList?orgID=90&AllCoaches=True,ok
